Rank,Team,Played,GF,GA,GD,Points,Points Per Match,Wins,Draws,Looses,Attendance,Home Points,Away Points,Home GF,Home GA,Away GF,Away GA,Home Wins,Home Draws,Home Losses,Away Wins,Away Draws,Away Losses,Red Cards,Penalty Kicks,Team Budget
1,Viking,18,45,25,20,39,2.17,12,3,3,12586,20,19,24,12,21,13,6,2,1,6,1,2,1,9,27.03M
2,Bodo Glimt,16,40,15,25,35,2.19,11,2,3,6957,21,14,26,8,14,7,7,0,2,4,2,1,2,3,55.48M
3,Tromso IL,15,28,22,6,31,2.07,10,1,4,5095,15,16,11,7,17,15,5,0,2,5,1,2,1,2,19.20M
4,Rosenborg,17,23,17,6,30,1.76,8,6,3,14192,19,11,14,4,9,13,5,4,0,3,2,3,0,3,27.05M
5,Brann,16,27,24,3,30,1.88,9,3,4,16353,20,10,18,12,9,12,6,2,1,3,1,3,2,6,24.90M
6,Sandefjord,15,31,20,11,27,1.80,9,0,6,4576,24,3,25,5,6,15,8,0,0,1,0,6,2,0,10.73M
7,Fredrikstad,17,23,20,3,25,1.47,7,4,6,9789,19,6,17,10,6,10,6,1,3,1,3,3,0,3,13.58M
8,Sarpsborg 08,15,25,17,8,22,1.47,5,7,3,5048,9,13,13,9,12,8,2,3,2,3,4,1,0,5,22.53M
9,KFUM Oslo,15,25,19,6,21,1.40,6,3,6,2247,10,11,13,9,12,10,3,1,3,3,2,3,3,2,8.38M
10,Kristiansund BK,17,18,31,-13,19,1.12,5,4,8,3345,8,11,7,12,11,19,2,2,4,3,2,4,2,5,9.23M
11,Valerenga Fotball Elite,16,22,27,-5,18,1.13,5,3,8,13435,8,10,12,12,10,15,2,2,3,3,1,5,1,0,14.83M
12,Bryne,15,21,27,-6,18,1.20,5,3,7,3369,13,5,13,14,8,13,4,1,3,1,2,4,1,3,6.60M
13,Molde,15,22,23,-1,17,1.13,5,2,8,6512,7,10,10,11,12,12,2,1,4,3,1,4,3,3,29.75M
14,Ham-Kam,15,17,25,-8,17,1.13,4,5,6,3705,9,8,9,12,8,13,2,3,2,2,2,4,0,2,7.60M
15,Stromsgodset,16,19,37,-18,6,0.38,2,0,14,5727,0,6,5,16,14,21,0,0,7,2,0,7,0,1,10.80M
16,Haugesund,16,5,42,-37,2,0.13,0,2,14,5727,2,0,1,20,4,22,0,2,6,0,0,8,2,1,8.00M
